file_name;packing_value;score
parcel_sample_1.in;394;1.0
parcel_sample_2.in;256;0.11
parcel_sample_3.in;192;0.85
parcel_sample_4.in;1024;0.05
parcel_sample_5.in;6174;0.22
parcel_sample_6.in;2646;0.89
parcel_sample_7.in;260;0.19
parcel_sample_8.in;4160;1.4
parcel_sample_9.in;53254;1.61
pentomino_sample_1.in;240;0.68
pentomino_sample_10.in;618;1.52
pentomino_sample_11.in;0;0.0
pentomino_sample_2.in;259;0.93
pentomino_sample_3.in;230;0.86
pentomino_sample_4.in;244;1.46
pentomino_sample_5.in;737;0.3
pentomino_sample_6.in;244;0.0
pentomino_sample_7.in;0;0.0
pentomino_sample_8.in;236;2.55
pentomino_sample_9.in;245;1.48
